SKU,date,demand
SKU0,2024-01-01,814
SKU0,2024-02-01,909
SKU0,2024-03-01,702
SKU0,2024-04-01,861
SKU0,2024-05-01,650
SKU0,2024-06-01,710
SKU0,2024-07-01,782
SKU0,2024-08-01,826
SKU0,2024-09-01,856
SKU0,2024-10-01,721
SKU0,2024-11-01,857
SKU0,2024-12-01,876
SKU1,2024-01-01,667
SKU1,2024-02-01,760
SKU1,2024-03-01,698
SKU1,2024-04-01,852
SKU1,2024-05-01,759
SKU1,2024-06-01,785
SKU1,2024-07-01,711
SKU1,2024-08-01,683
SKU1,2024-09-01,683
SKU1,2024-10-01,775
SKU1,2024-11-01,715
SKU1,2024-12-01,777
SKU2,2024-01-01,8
SKU2,2024-02-01,8
SKU2,2024-03-01,9
SKU2,2024-04-01,7
SKU2,2024-05-01,8
SKU2,2024-06-01,7
SKU2,2024-07-01,8
SKU2,2024-08-01,7
SKU2,2024-09-01,9
SKU2,2024-10-01,8
SKU2,2024-11-01,8
SKU2,2024-12-01,9
SKU3,2024-01-01,77
SKU3,2024-02-01,87
SKU3,2024-03-01,76
SKU3,2024-04-01,72
SKU3,2024-05-01,73
SKU3,2024-06-01,87
SKU3,2024-07-01,88
SKU3,2024-08-01,78
SKU3,2024-09-01,81
SKU3,2024-10-01,82
SKU3,2024-11-01,86
SKU3,2024-12-01,82
SKU4,2024-01-01,823
SKU4,2024-02-01,824
SKU4,2024-03-01,836
SKU4,2024-04-01,795
SKU4,2024-05-01,740
SKU4,2024-06-01,847
SKU4,2024-07-01,823
SKU4,2024-08-01,837
SKU4,2024-09-01,634
SKU4,2024-10-01,889
SKU4,2024-11-01,1059
SKU4,2024-12-01,907
SKU5,2024-01-01,176
SKU5,2024-02-01,159
SKU5,2024-03-01,144
SKU5,2024-04-01,133
SKU5,2024-05-01,135
SKU5,2024-06-01,135
SKU5,2024-07-01,118
SKU5,2024-08-01,151
SKU5,2024-09-01,141
SKU5,2024-10-01,137
SKU5,2024-11-01,157
SKU5,2024-12-01,163
SKU6,2024-01-01,70
SKU6,2024-02-01,58
SKU6,2024-03-01,64
SKU6,2024-04-01,57
SKU6,2024-05-01,67
SKU6,2024-06-01,63
SKU6,2024-07-01,71
